build,race,faction,dps,stdev,standard_error,iterations,oom_seconds,spell_hit_adjustment,melee_hit_adjustment,spell_hit_final,melee_hit_final,hit_budget_model,hit_rating_delta,offensive_budget_before,budget_balance,talents
Balance,Tauren,Horde,587.7676562139568,39.63219829497161,0.560483923354087,5000,0,5.1,5.1,16,16,linear-v1,51,512.4285714285713,-6.217248937900877e-15,5232220115501351--505003
Balance,Windshaper,Horde,586.6971874942341,41.54278697902051,0.5875037276450722,5000,0,6.1,6.1,16,16,linear-v1,61,512.4285714285713,-6.217248937900877e-15,5232220115501351--505003
Balance,Night Elf,Alliance,594.1905434978805,41.397171180945556,0.5854444092797384,5000,0,6.1,6.1,16,16,linear-v1,61,512.4285714285713,-6.217248937900877e-15,5232220115501351--505003
Balance,High Order,Alliance,586.6971874942341,41.54278697902051,0.5875037276450722,5000,0,6.1,6.1,16,16,linear-v1,61,512.4285714285713,-6.217248937900877e-15,5232220115501351--505003
Feral,Tauren,Horde,654.8061967459937,35.07892231552644,0.4960908769204971,5000,0,0.09999999999999964,0.09999999999999964,9,9,linear-v1,0.9999999999999964,407,-5.551115123125783e-17,050022-3521002023032213041-053
Feral,Windshaper,Horde,651.8582788720635,32.99313833072905,0.46659343692568644,5000,0,1.0999999999999996,1.0999999999999996,9,9,linear-v1,10.999999999999996,407,4.440892098500626e-16,050022-3521002023032213041-053
Feral,Night Elf,Alliance,660.6650815795952,35.173836463769575,0.49743316567756235,5000,0,2.0999999999999996,2.0999999999999996,9,9,linear-v1,20.999999999999996,421,0,050022-3521002023032213041-053
Feral,High Order,Alliance,651.8582788720635,32.99313833072905,0.46659343692568644,5000,0,1.0999999999999996,1.0999999999999996,9,9,linear-v1,10.999999999999996,407,4.440892098500626e-16,050022-3521002023032213041-053
Elemental,Orc,Horde,534.9245871663426,34.27655032353255,0.48474362338903626,5000,0,4.1,4.1,16,16,linear-v1,41,512.4285714285714,3.552713678800501e-15,5502301500123031-0500001-053050001
Elemental,Tauren,Horde,531.2638700940627,34.02528057903155,0.48119013258416293,5000,0,3.0999999999999996,3.0999999999999996,16,16,linear-v1,30.999999999999996,512.4285714285714,3.552713678800501e-15,5502301500123031-0500001-053050001
Elemental,Troll,Horde,531.3195042032166,34.146384835157804,0.48290280539891145,5000,0,4.1,4.1,16,16,linear-v1,41,512.4285714285714,3.552713678800501e-15,5502301500123031-0500001-053050001
Elemental,Windshaper,Horde,525.7697310638065,33.39352136788558,0.4722557081385954,5000,0,4.1,4.1,16,16,linear-v1,41,512.4285714285714,3.552713678800501e-15,5502301500123031-0500001-053050001
Elemental,Dwarf,Alliance,527.1186994691546,33.796463183329635,0.47795416594107754,5000,0,4.1,4.1,16,16,linear-v1,41,512.4285714285714,3.552713678800501e-15,5502301500123031-0500001-053050001
Stormcaller,Orc,Horde,555.6221970411683,35.96295704572968,0.5085930159711197,5000,0,8.1,8.1,16,16,linear-v1,81,514.4285714285714,3.552713678800501e-15,550032150010303-055030031004002
Stormcaller,Tauren,Horde,551.3787927648161,35.781323691578464,0.50602433244292,5000,0,7.1,7.1,16,16,linear-v1,71,514.4285714285714,3.552713678800501e-15,550032150010303-055030031004002
Stormcaller,Troll,Horde,549.4425308754544,35.30072088352812,0.49922758235032616,5000,0,8.1,8.1,16,16,linear-v1,81,514.4285714285714,3.552713678800501e-15,550032150010303-055030031004002
Stormcaller,Windshaper,Horde,546.1317345242188,35.73496068085269,0.5053686604573115,5000,0,8.1,8.1,16,16,linear-v1,81,514.4285714285714,3.552713678800501e-15,550032150010303-055030031004002
Stormcaller,Dwarf,Alliance,547.7220193263037,35.49198438393,0.5019324567128791,5000,0,8.1,8.1,16,16,linear-v1,81,514.4285714285714,3.552713678800501e-15,550032150010303-055030031004002
Enhancement,Orc,Horde,757.5827418229818,92.0147444690802,1.3012849956646795,5000,0,12.1,12.1,16,16,linear-v1,121,521.5714285714286,1.0658141036401503e-14,05043305-055030031005102051
Enhancement,Tauren,Horde,748.6366147058452,88.4631647696728,1.2510580738771704,5000,0,12,12,16,16,linear-v1,120,536,0,05043305-055030031005102051
Enhancement,Troll,Horde,743.5386203987495,88.90382329262967,1.2572899264725794,5000,0,12.1,12.1,16,16,linear-v1,121,517.8571428571429,1.4210854715202004e-14,05043305-055030031005102051
Enhancement,Windshaper,Horde,748.4240583984489,88.59849493914757,1.2529719314878651,5000,0,13,13,16,16,linear-v1,130,527,3.552713678800501e-15,05043305-055030031005102051
Enhancement,Dwarf,Alliance,753.5693174183756,88.13378386829278,1.2463999244979875,5000,0,12.1,12.1,16,16,linear-v1,121,531,7.105427357601002e-15,05043305-055030031005102051
Beast Mastery,Orc,Horde,912.721395770671,45.73290999435696,0.6467610156080768,5000,0,2.0999999999999996,2.0999999999999996,9,9,linear-v1,20.999999999999996,540.4285714285714,2.220446049250313e-15,5320001505101251-00531510005
Beast Mastery,Tauren,Horde,898.6778112270803,44.78847496906009,0.6334046873925266,5000,0,1.0999999999999996,1.0999999999999996,9,9,linear-v1,10.999999999999996,540.4285714285714,1.1102230246251565e-15,5320001505101251-00531510005
Beast Mastery,Troll,Horde,909.4938989594426,45.36731576582076,0.6415907324448645,5000,0,2.0999999999999996,2.0999999999999996,9,9,linear-v1,20.999999999999996,540.4285714285714,2.220446049250313e-15,5320001505101251-00531510005
Beast Mastery,Windshaper,Horde,903.3196271001387,46.40059164001853,0.6562034599944986,5000,0,2.0999999999999996,2.0999999999999996,9,9,linear-v1,20.999999999999996,540.4285714285714,2.220446049250313e-15,5320001505101251-00531510005
Beast Mastery,Human,Alliance,911.5560131128066,45.71109363674133,0.6464524857198607,5000,0,2.0999999999999996,2.0999999999999996,9,9,linear-v1,20.999999999999996,540.4285714285714,2.220446049250313e-15,5320001505101251-00531510005
Beast Mastery,Dwarf,Alliance,896.2298788989921,44.713172301629164,0.6323397468568898,5000,0,2.0999999999999996,2.0999999999999996,9,9,linear-v1,20.999999999999996,540.4285714285714,2.220446049250313e-15,5320001505101251-00531510005
Beast Mastery,Night Elf,Alliance,918.5807327977959,45.83865874191984,0.6482565287381508,5000,0,2.0999999999999996,2.0999999999999996,9,9,linear-v1,20.999999999999996,540.4285714285714,2.220446049250313e-15,5320001505101251-00531510005
Beast Mastery,High Order,Alliance,903.3196271001387,46.40059164001853,0.6562034599944986,5000,0,2.0999999999999996,2.0999999999999996,9,9,linear-v1,20.999999999999996,540.4285714285714,2.220446049250313e-15,5320001505101251-00531510005
Marksmanship,Orc,Horde,877.0039423668916,51.607351149633836,0.729838159139629,5000,0,2.0999999999999996,2.0999999999999996,9,9,linear-v1,20.999999999999996,540.4285714285714,2.220446049250313e-15,5023000503-0053451001503051
Marksmanship,Tauren,Horde,861.4976835922857,50.66804396628543,0.7165543495603712,5000,0,1.0999999999999996,1.0999999999999996,9,9,linear-v1,10.999999999999996,540.4285714285714,1.1102230246251565e-15,5023000503-0053451001503051
Marksmanship,Troll,Horde,874.0336285138766,49.88133478325075,0.7054286015974601,5000,0,2.0999999999999996,2.0999999999999996,9,9,linear-v1,20.999999999999996,540.4285714285714,2.220446049250313e-15,5023000503-0053451001503051
Marksmanship,Windshaper,Horde,867.5159224220209,49.748367997690515,0.7035481672826158,5000,0,2.0999999999999996,2.0999999999999996,9,9,linear-v1,20.999999999999996,540.4285714285714,2.220446049250313e-15,5023000503-0053451001503051
Marksmanship,Human,Alliance,875.0170081946112,51.68814406217586,0.7309807434662345,5000,0,2.0999999999999996,2.0999999999999996,9,9,linear-v1,20.999999999999996,540.4285714285714,2.220446049250313e-15,5023000503-0053451001503051
Marksmanship,Dwarf,Alliance,858.691633188066,50.52621986986842,0.7145486539541287,5000,0,2.0999999999999996,2.0999999999999996,9,9,linear-v1,20.999999999999996,540.4285714285714,2.220446049250313e-15,5023000503-0053451001503051
Marksmanship,Night Elf,Alliance,883.2596592420166,52.22070553729045,0.7385123000752793,5000,0,2.0999999999999996,2.0999999999999996,9,9,linear-v1,20.999999999999996,540.4285714285714,2.220446049250313e-15,5023000503-0053451001503051
Marksmanship,High Order,Alliance,867.5159224220209,49.748367997690515,0.7035481672826158,5000,0,2.0999999999999996,2.0999999999999996,9,9,linear-v1,20.999999999999996,540.4285714285714,2.220446049250313e-15,5023000503-0053451001503051
Survival,Orc,Horde,825.2284110244134,74.11381404505897,1.0481276098171997,5000,0,0.09999999999999964,0.09999999999999964,9,9,linear-v1,0.9999999999999964,460,2.7755575615628914e-17,502-0050051-230230230250022151
Survival,Tauren,Horde,808.1214545827459,72.39479537728303,1.023817014677787,5000,0,-0.9000000000000004,-0.9000000000000004,9,9,linear-v1,-9.000000000000004,460,0,502-0050051-230230230250022151
Survival,Troll,Horde,821.3611515783647,70.69321205118473,0.9997529925050257,5000,0,0.09999999999999964,0.09999999999999964,9,9,linear-v1,0.9999999999999964,460,2.7755575615628914e-17,502-0050051-230230230250022151
Survival,Windshaper,Horde,817.0163301430954,70.7952199264508,1.001195601711727,5000,0,0.09999999999999964,0.09999999999999964,9,9,linear-v1,0.9999999999999964,460,2.7755575615628914e-17,502-0050051-230230230250022151
