build,race,faction,dps,stdev,standard_error,iterations,oom_seconds,spell_hit_adjustment,melee_hit_adjustment,spell_hit_final,melee_hit_final,hit_budget_model,hit_rating_delta,offensive_budget_before,budget_balance,talents
Balance,Tauren,Horde,592.1898749356773,17.59937578977092,0.24889275931194738,5000,0.015454545601999999,5.1,5.1,16,16,linear-v1,51,512.4285714285713,-6.217248937900877e-15,5232220115501351--505003
Balance,Windshaper,Horde,589.700303104564,17.647629432741375,0.2495751688751746,5000,0.0181599912956,6.1,6.1,16,16,linear-v1,61,512.4285714285713,-6.217248937900877e-15,5232220115501351--505003
Balance,Night Elf,Alliance,592.2969784676181,17.662507934156956,0.24978558266007164,5000,0.015515454689399993,6.1,6.1,16,16,linear-v1,61,512.4285714285713,-6.217248937900877e-15,5232220115501351--505003
Balance,High Order,Alliance,589.700303104564,17.647629432741375,0.2495751688751746,5000,0.0181599912956,6.1,6.1,16,16,linear-v1,61,512.4285714285713,-6.217248937900877e-15,5232220115501351--505003
Feral,Tauren,Horde,602.0770454852543,14.381385370647434,0.2033835023688362,5000,0,0.09999999999999964,0.09999999999999964,9,9,linear-v1,0.9999999999999964,407,-5.551115123125783e-17,050022-3521002023032213041-053
Feral,Windshaper,Horde,602.6752723132923,14.149444147938176,0.2001033581405479,5000,0,1.0999999999999996,1.0999999999999996,9,9,linear-v1,10.999999999999996,407,4.440892098500626e-16,050022-3521002023032213041-053
Feral,Night Elf,Alliance,603.0211237143943,14.404643083767997,0.20371241610208504,5000,0,2.0999999999999996,2.0999999999999996,9,9,linear-v1,20.999999999999996,421,0,050022-3521002023032213041-053
Feral,High Order,Alliance,602.6752723132923,14.149444147938176,0.2001033581405479,5000,0,1.0999999999999996,1.0999999999999996,9,9,linear-v1,10.999999999999996,407,4.440892098500626e-16,050022-3521002023032213041-053
Elemental,Orc,Horde,507.76177956711035,14.585124994092757,0.20626481575552785,5000,0.1274,4.1,4.1,16,16,linear-v1,41,512.4285714285714,3.552713678800501e-15,5502301500123031-0500001-053050001
Elemental,Tauren,Horde,507.3632742365646,14.567845173322112,0.20602044218663562,5000,0.1281,3.0999999999999996,3.0999999999999996,16,16,linear-v1,30.999999999999996,512.4285714285714,3.552713678800501e-15,5502301500123031-0500001-053050001
Elemental,Troll,Horde,505.6044023158382,14.57397465032093,0.20610712608165543,5000,0.11765363643280007,4.1,4.1,16,16,linear-v1,41,512.4285714285714,3.552713678800501e-15,5502301500123031-0500001-053050001
Elemental,Windshaper,Horde,505.06284213818395,14.535128381404938,0.20555775687816955,5000,0.11702871827920028,4.1,4.1,16,16,linear-v1,41,512.4285714285714,3.552713678800501e-15,5502301500123031-0500001-053050001
Elemental,Dwarf,Alliance,503.04497850145174,14.463968107834166,0.2045513986383099,5000,0.1469,4.1,4.1,16,16,linear-v1,41,512.4285714285714,3.552713678800501e-15,5502301500123031-0500001-053050001
Stormcaller,Orc,Horde,528.3923683991976,15.665762741254461,0.22154734133601173,5000,1.4174,8.1,8.1,16,16,linear-v1,81,514.4285714285714,3.552713678800501e-15,550032150010303-055030031004002
Stormcaller,Tauren,Horde,527.549343706055,15.75673245861695,0.22283384741660453,5000,1.4296,7.1,7.1,16,16,linear-v1,71,514.4285714285714,3.552713678800501e-15,550032150010303-055030031004002
Stormcaller,Troll,Horde,523.888913777314,15.985506943315974,0.22606920720646728,5000,1.4368800000147925,8.1,8.1,16,16,linear-v1,81,514.4285714285714,3.552713678800501e-15,550032150010303-055030031004002
Stormcaller,Windshaper,Horde,525.5261170141171,16.113077973008338,0.2278733340100357,5000,1.473869803341797,8.1,8.1,16,16,linear-v1,81,514.4285714285714,3.552713678800501e-15,550032150010303-055030031004002
Stormcaller,Dwarf,Alliance,523.990159555097,15.680193593213662,0.22175142440158474,5000,1.4149,8.1,8.1,16,16,linear-v1,81,514.4285714285714,3.552713678800501e-15,550032150010303-055030031004002
Enhancement,Orc,Horde,692.1816265902951,39.948617423472044,0.564958765583283,5000,36.64971679637958,12.1,12.1,16,16,linear-v1,121,521.5714285714286,1.0658141036401503e-14,05043305-055030031005102051
Enhancement,Tauren,Horde,693.8823317026737,39.68505126341647,0.5612313772019509,5000,29.73866761281443,12,12,16,16,linear-v1,120,536,0,05043305-055030031005102051
Enhancement,Troll,Horde,688.2428298578843,39.93354909506489,0.5647456672393261,5000,28.31601032424596,12.1,12.1,16,16,linear-v1,121,517.8571428571429,1.4210854715202004e-14,05043305-055030031005102051
Enhancement,Windshaper,Horde,689.5142555108811,40.55543189252828,0.5735404181031185,5000,32.23529638218803,13,13,16,16,linear-v1,130,527,3.552713678800501e-15,05043305-055030031005102051
Enhancement,Dwarf,Alliance,695.8782422303678,39.81327616778442,0.5630447511898625,5000,32.14195182721074,12.1,12.1,16,16,linear-v1,121,531,7.105427357601002e-15,05043305-055030031005102051
Beast Mastery,Orc,Horde,880.9364302923219,21.00789291462746,0.29709647076747797,5000,0.0027300000000000002,2.0999999999999996,2.0999999999999996,9,9,linear-v1,20.999999999999996,540.4285714285714,2.220446049250313e-15,5320001505101251-00531510005
Beast Mastery,Tauren,Horde,870.9104386271963,20.618082323157026,0.2915837165153364,5000,0.00268,1.0999999999999996,1.0999999999999996,9,9,linear-v1,10.999999999999996,540.4285714285714,1.1102230246251565e-15,5320001505101251-00531510005
Beast Mastery,Troll,Horde,876.7231242964111,20.896253369590823,0.2955176491805983,5000,0.0018800000000000002,2.0999999999999996,2.0999999999999996,9,9,linear-v1,20.999999999999996,540.4285714285714,2.220446049250313e-15,5320001505101251-00531510005
Beast Mastery,Windshaper,Horde,877.4154931171499,20.90038420124085,0.2955760679620318,5000,0.0010799999999999998,2.0999999999999996,2.0999999999999996,9,9,linear-v1,20.999999999999996,540.4285714285714,2.220446049250313e-15,5320001505101251-00531510005
Beast Mastery,Human,Alliance,883.4112963226512,21.024153192187676,0.2973264258180141,5000,0.00047000000000000004,2.0999999999999996,2.0999999999999996,9,9,linear-v1,20.999999999999996,540.4285714285714,2.220446049250313e-15,5320001505101251-00531510005
Beast Mastery,Dwarf,Alliance,868.5823988925005,20.52861807589285,0.2903185009970514,5000,0.0027099999999999997,2.0999999999999996,2.0999999999999996,9,9,linear-v1,20.999999999999996,540.4285714285714,2.220446049250313e-15,5320001505101251-00531510005
Beast Mastery,Night Elf,Alliance,880.0585737111775,20.931639408685903,0.29601808334466756,5000,0.0031400000000000004,2.0999999999999996,2.0999999999999996,9,9,linear-v1,20.999999999999996,540.4285714285714,2.220446049250313e-15,5320001505101251-00531510005
Beast Mastery,High Order,Alliance,877.4154931171499,20.90038420124085,0.2955760679620318,5000,0.0010799999999999998,2.0999999999999996,2.0999999999999996,9,9,linear-v1,20.999999999999996,540.4285714285714,2.220446049250313e-15,5320001505101251-00531510005
Marksmanship,Orc,Horde,851.2670088375805,22.361022423757245,0.3162326118020639,5000,0.024322530078199997,2.0999999999999996,2.0999999999999996,9,9,linear-v1,20.999999999999996,540.4285714285714,2.220446049250313e-15,5023000503-0053451001503051
Marksmanship,Tauren,Horde,840.4231190348837,21.994791536955756,0.311053324931318,5000,0.022542530078200004,1.0999999999999996,1.0999999999999996,9,9,linear-v1,10.999999999999996,540.4285714285714,1.1102230246251565e-15,5023000503-0053451001503051
Marksmanship,Troll,Horde,845.0013062799409,21.98482862699617,0.3109124281074625,5000,0.031939999999999996,2.0999999999999996,2.0999999999999996,9,9,linear-v1,20.999999999999996,540.4285714285714,2.220446049250313e-15,5023000503-0053451001503051
Marksmanship,Windshaper,Horde,846.5668584381636,22.155974076356785,0.3133327902637047,5000,0.02025,2.0999999999999996,2.0999999999999996,9,9,linear-v1,20.999999999999996,540.4285714285714,2.220446049250313e-15,5023000503-0053451001503051
Marksmanship,Human,Alliance,853.9059347565541,22.399725714007932,0.3167799589818738,5000,0.011230000000000002,2.0999999999999996,2.0999999999999996,9,9,linear-v1,20.999999999999996,540.4285714285714,2.220446049250313e-15,5023000503-0053451001503051
Marksmanship,Dwarf,Alliance,837.7669478997559,21.82442890507865,0.30864403348609626,5000,0.023742530078200003,2.0999999999999996,2.0999999999999996,9,9,linear-v1,20.999999999999996,540.4285714285714,2.220446049250313e-15,5023000503-0053451001503051
Marksmanship,Night Elf,Alliance,850.0425008789774,22.190882392946865,0.3138264684113178,5000,0.015898147814,2.0999999999999996,2.0999999999999996,9,9,linear-v1,20.999999999999996,540.4285714285714,2.220446049250313e-15,5023000503-0053451001503051
Marksmanship,High Order,Alliance,846.5668584381636,22.155974076356785,0.3133327902637047,5000,0.02025,2.0999999999999996,2.0999999999999996,9,9,linear-v1,20.999999999999996,540.4285714285714,2.220446049250313e-15,5023000503-0053451001503051
Survival,Orc,Horde,791.4666808364159,32.47689072365066,0.4592925932509573,5000,0,0.09999999999999964,0.09999999999999964,9,9,linear-v1,0.9999999999999964,460,2.7755575615628914e-17,502-0050051-230230230250022151
Survival,Tauren,Horde,780.0515795678946,32.016631948211725,0.45278355122668745,5000,0,-0.9000000000000004,-0.9000000000000004,9,9,linear-v1,-9.000000000000004,460,0,502-0050051-230230230250022151
Survival,Troll,Horde,783.4870268021626,31.47578358381032,0.4451348003054497,5000,0,0.09999999999999964,0.09999999999999964,9,9,linear-v1,0.9999999999999964,460,2.7755575615628914e-17,502-0050051-230230230250022151
Survival,Windshaper,Horde,786.4684567381724,31.538099963083468,0.44601608699271045,5000,0,0.09999999999999964,0.09999999999999964,9,9,linear-v1,0.9999999999999964,460,2.7755575615628914e-17,502-0050051-230230230250022151
Survival,Human,Alliance,795.7012822118229,32.53134668509241,0.4600627168431871,5000,0,0.09999999999999964,0.09999999999999964,9,9,linear-v1,0.9999999999999964,465,0,502-0050051-230230230250022151
Survival,Dwarf,Alliance,776.1411576490005,31.838479906317144,0.4502641008885697,5000,0,0.09999999999999964,0.09999999999999964,9,9,linear-v1,0.9999999999999964,460,2.7755575615628914e-17,502-0050051-230230230250022151
Survival,Night Elf,Alliance,788.8231509344005,32.37565345731194,0.4578608821002193,5000,0,0.09999999999999964,0.09999999999999964,9,9,linear-v1,0.9999999999999964,465,0,502-0050051-230230230250022151
Survival,High Order,Alliance,786.4684567381724,31.538099963083468,0.44601608699271045,5000,0,0.09999999999999964,0.09999999999999964,9,9,linear-v1,0.9999999999999964,460,2.7755575615628914e-17,502-0050051-230230230250022151
Arcane,Orc,Horde,704.4693109339648,31.558704432614686,0.446307478195276,5000,0.09275,2.0999999999999996,2.0999999999999996,11,11,linear-v1,20.999999999999996,487.57142857142856,1.7763568394002505e-15,053005023100311531-03-005500032
Arcane,Troll,Horde,701.6375718626244,30.915943453377775,0.4372174652532655,5000,0.10499636364239993,2.0999999999999996,2.0999999999999996,11,11,linear-v1,20.999999999999996,487.57142857142856,1.7763568394002505e-15,053005023100311531-03-005500032
Arcane,Undead,Horde,715.1374090627637,32.4330321089298,0.4586723387733059,5000,0.1014,2.0999999999999996,2.0999999999999996,11,11,linear-v1,20.999999999999996,487.57142857142856,1.7763568394002505e-15,053005023100311531-03-005500032
Arcane,Human,Alliance,700.0042562135353,31.06161660456873,0.43927759471414424,5000,0.08085,2.0999999999999996,2.0999999999999996,11,11,linear-v1,20.999999999999996,487.57142857142856,1.7763568394002505e-15,053005023100311531-03-005500032
Arcane,Gnome,Alliance,706.8188584860782,30.797317563902585,0.4355398418358216,5000,0.0389,2.0999999999999996,2.0999999999999996,11,11,linear-v1,20.999999999999996,487.57142857142856,1.7763568394002505e-15,053005023100311531-03-005500032
Arcane,High Order,Alliance,703.9798736011857,31.17256857087363,0.44084669246934777,5000,0.11956000016999999,2.0999999999999996,2.0999999999999996,11,11,linear-v1,20.999999999999996,487.57142857142856,1.7763568394002505e-15,053005023100311531-03-005500032
Fire,Orc,Horde,952.3658670805838,60.80406820290409,0.8598993790000563,5000,1.9342300000000006,4.1,4.1,13,13,linear-v1,41,487.57142857142856,-5.329070518200751e-15,0501252000002-23450000130133051-003
Fire,Troll,Horde,940.9347170006486,59.703774533510654,0.8443388767015617,5000,1.75039,4.1,4.1,13,13,linear-v1,41,487.57142857142856,-5.329070518200751e-15,0501252000002-23450000130133051-003
Fire,Undead,Horde,960.0117919657644,58.55087916572072,0.8280344740503053,5000,1.4360700000000002,3.0999999999999996,3.0999999999999996,13,13,linear-v1,30.999999999999996,489.57142857142856,-8.881784197001252e-16,0501252000002-23450000130133051-003
Fire,Human,Alliance,947.8797765930883,58.53147932844339,0.827760118920451,5000,1.5025900000000008,3.0999999999999996,3.0999999999999996,13,13,linear-v1,30.999999999999996,489.57142857142856,-8.881784197001252e-16,0501252000002-23450000130133051-003
Fire,Gnome,Alliance,949.8721826549163,55.401563591324525,0.7834964260752662,5000,1.0442499999999997,4.1,4.1,13,13,linear-v1,41,487.57142857142856,-5.329070518200751e-15,0501252000002-23450000130133051-003
Fire,High Order,Alliance,949.419750976862,59.45542772459542,0.8408267224481616,5000,1.6103205940612006,4.1,4.1,13,13,linear-v1,41,487.57142857142856,-5.329070518200751e-15,0501252000002-23450000130133051-003
Frost,Orc,Horde,697.6350704320494,30.18155646598818,0.4268316648772986,5000,0.06515,2.0999999999999996,2.0999999999999996,11,11,linear-v1,20.999999999999996,487.57142857142856,1.7763568394002505e-15,050005001-03-0555003321001301251
Frost,Troll,Horde,698.103102747736,30.178277983057136,0.42678530012704774,5000,0.06339272731200002,2.0999999999999996,2.0999999999999996,11,11,linear-v1,20.999999999999996,487.57142857142856,1.7763568394002505e-15,050005001-03-0555003321001301251
Frost,Undead,Horde,701.2818714168045,30.303825037559093,0.42856080359897436,5000,0.07205,2.0999999999999996,2.0999999999999996,11,11,linear-v1,20.999999999999996,487.57142857142856,1.7763568394002505e-15,050005001-03-0555003321001301251
Frost,Human,Alliance,693.5466100026133,30.093972785987624,0.4255930445963053,5000,0.0691,2.0999999999999996,2.0999999999999996,11,11,linear-v1,20.999999999999996,487.57142857142856,1.7763568394002505e-15,050005001-03-0555003321001301251
Frost,Gnome,Alliance,699.6763932822611,29.975207378300578,0.42391344809338743,5000,0.0487,2.0999999999999996,2.0999999999999996,11,11,linear-v1,20.999999999999996,487.57142857142856,1.7763568394002505e-15,050005001-03-0555003321001301251
