build,race,faction,dps,stdev,standard_error,iterations,oom_seconds,spell_hit_adjustment,melee_hit_adjustment,spell_hit_final,melee_hit_final,hit_budget_model,hit_rating_delta,offensive_budget_before,budget_balance,talents
Balance,Tauren,Horde,458.3488089472767,14.506382119194758,0.20515122333931785,5000,0.02282272732039999,2.0999999999999996,2.0999999999999996,16,16,linear-v1,20.999999999999996,349.71428571428567,0,5232220115501351--505003
Balance,Windshaper,Horde,455.88064967042664,14.553021374427255,0.20581080201220564,5000,0.030905031609800016,3.0999999999999996,3.0999999999999996,16,16,linear-v1,30.999999999999996,349.71428571428567,-5.329070518200751e-15,5232220115501351--505003
Balance,Night Elf,Alliance,458.3144890307244,14.596689180977162,0.20642835805482526,5000,0.027562727384400007,3.0999999999999996,3.0999999999999996,16,16,linear-v1,30.999999999999996,349.71428571428567,-5.329070518200751e-15,5232220115501351--505003
Balance,High Order,Alliance,455.88064967042664,14.553021374427255,0.20581080201220564,5000,0.030905031609800016,3.0999999999999996,3.0999999999999996,16,16,linear-v1,30.999999999999996,349.71428571428567,-5.329070518200751e-15,5232220115501351--505003
Feral,Tauren,Horde,537.7146611651889,13.415603545836346,0.18972528481942344,5000,0,0.09999999999999964,0.09999999999999964,9,9,linear-v1,0.9999999999999964,340,0,050022-3521002023032213041-053
Feral,Windshaper,Horde,538.636138531711,13.264921905153138,0.18759432462087522,5000,0,1.0999999999999996,1.0999999999999996,9,9,linear-v1,10.999999999999996,340,0,050022-3521002023032213041-053
Feral,Night Elf,Alliance,537.7529308343271,13.350334970407777,0.1888022477737449,5000,0,1.0999999999999996,1.0999999999999996,9,9,linear-v1,10.999999999999996,340,0,050022-3521002023032213041-053
Feral,High Order,Alliance,538.636138531711,13.264921905153138,0.18759432462087522,5000,0,1.0999999999999996,1.0999999999999996,9,9,linear-v1,10.999999999999996,340,0,050022-3521002023032213041-053
Elemental,Orc,Horde,395.4241142145169,12.047076512763178,0.17037138991296058,5000,0.5892,3.0999999999999996,3.0999999999999996,16,16,linear-v1,30.999999999999996,379.42857142857144,8.881784197001252e-16,5502301500123031-0500001-053050001
Elemental,Tauren,Horde,395.81297091769727,12.036045866564193,0.1702153930183971,5000,0.5954,2.0999999999999996,2.0999999999999996,16,16,linear-v1,20.999999999999996,379.42857142857144,4.440892098500626e-16,5502301500123031-0500001-053050001
Elemental,Troll,Horde,393.450406149613,12.385056055098515,0.1751511424387134,5000,0.6649909092848032,3.0999999999999996,3.0999999999999996,16,16,linear-v1,30.999999999999996,379.42857142857144,8.881784197001252e-16,5502301500123031-0500001-053050001
Elemental,Windshaper,Horde,393.86401993007416,11.913029378287934,0.16847567715723916,5000,0.6417094195996059,3.0999999999999996,3.0999999999999996,16,16,linear-v1,30.999999999999996,379.42857142857144,8.881784197001252e-16,5502301500123031-0500001-053050001
Elemental,Dwarf,Alliance,395.2534342207634,12.12802094866264,0.17151611710343714,5000,0.6494,3.0999999999999996,3.0999999999999996,16,16,linear-v1,30.999999999999996,379.42857142857144,8.881784197001252e-16,5502301500123031-0500001-053050001
Stormcaller,Orc,Horde,413.8039014507946,12.922551982455856,0.18275248274060396,5000,1.728,8.1,8.1,16,16,linear-v1,81,379.42857142857144,7.105427357601002e-15,550032150010303-055030031004002
Stormcaller,Tauren,Horde,414.1619141012543,12.939448868802558,0.18299144079893778,5000,1.7039,7.1,7.1,16,16,linear-v1,71,379.42857142857144,5.329070518200751e-15,550032150010303-055030031004002
Stormcaller,Troll,Horde,411.39991549535944,13.07886500382261,0.18496308268852776,5000,1.7009700000135846,8.1,8.1,16,16,linear-v1,81,379.42857142857144,7.105427357601002e-15,550032150010303-055030031004002
Stormcaller,Windshaper,Horde,413.23404383299277,12.922815339658692,0.18275620717388397,5000,1.735741783288813,8.1,8.1,16,16,linear-v1,81,379.42857142857144,7.105427357601002e-15,550032150010303-055030031004002
Stormcaller,Dwarf,Alliance,414.25559392741405,13.018507844873865,0.18410950356081152,5000,1.6915,8.1,8.1,16,16,linear-v1,81,379.42857142857144,7.105427357601002e-15,550032150010303-055030031004002
Enhancement,Orc,Horde,625.4573708708473,25.89566489724838,0.3662200050435754,5000,2.6900058049659985,9.1,9.1,16,16,linear-v1,91,323,1.7763568394002505e-14,05043305-055030031005102051
Enhancement,Tauren,Horde,623.5458525114403,25.605129651464463,0.3621112161942252,5000,2.8164176633546028,8.1,8.1,16,16,linear-v1,81,323,3.552713678800501e-15,05043305-055030031005102051
Enhancement,Troll,Horde,623.0235385307934,26.10924539405215,0.3692404893959581,5000,2.5281918750837957,9.1,9.1,16,16,linear-v1,91,323,1.7763568394002505e-14,05043305-055030031005102051
Enhancement,Windshaper,Horde,625.6975178051533,25.162293037202286,0.3558485607361757,5000,2.4157096810372005,9.1,9.1,16,16,linear-v1,91,323,1.7763568394002505e-14,05043305-055030031005102051
Enhancement,Dwarf,Alliance,627.5907891882254,26.233670027255208,0.37100011943364875,5000,2.5850035810922045,9.1,9.1,16,16,linear-v1,91,323,1.7763568394002505e-14,05043305-055030031005102051
Beast Mastery,Orc,Horde,772.1204325383366,18.41558222837423,0.2604356614636378,5000,0.8972009187114001,3.0999999999999996,3.0999999999999996,9,9,linear-v1,30.999999999999996,356,1.7763568394002505e-15,5320001505101251-00531510005
Beast Mastery,Tauren,Horde,770.2454821343348,18.16721428861718,0.256923208375007,5000,1.0078443548027998,2.0999999999999996,2.0999999999999996,9,9,linear-v1,20.999999999999996,356,-2.6645352591003757e-15,5320001505101251-00531510005
Beast Mastery,Troll,Horde,771.9827492063955,18.17507784577425,0.2570344158668072,5000,0.9213993487439993,3.0999999999999996,3.0999999999999996,9,9,linear-v1,30.999999999999996,356,1.7763568394002505e-15,5320001505101251-00531510005
Beast Mastery,Windshaper,Horde,773.1544662334967,18.00793868847375,0.2546707112362274,5000,0.700099147155599,3.0999999999999996,3.0999999999999996,9,9,linear-v1,30.999999999999996,356,1.7763568394002505e-15,5320001505101251-00531510005
Beast Mastery,Human,Alliance,769.497351651918,18.185085482452383,0.2571759452219824,5000,0.5851445052833997,3.0999999999999996,3.0999999999999996,9,9,linear-v1,30.999999999999996,356,1.7763568394002505e-15,5320001505101251-00531510005
Beast Mastery,Dwarf,Alliance,767.3722732067976,17.985488971598105,0.2543532242954577,5000,0.8948891404370001,3.0999999999999996,3.0999999999999996,9,9,linear-v1,30.999999999999996,356,1.7763568394002505e-15,5320001505101251-00531510005
Beast Mastery,Night Elf,Alliance,778.0814768088875,18.540941810719666,0.2622085136789012,5000,0.8040405085482006,3.0999999999999996,3.0999999999999996,9,9,linear-v1,30.999999999999996,356,1.7763568394002505e-15,5320001505101251-00531510005
Beast Mastery,High Order,Alliance,773.1544662334967,18.00793868847375,0.2546707112362274,5000,0.700099147155599,3.0999999999999996,3.0999999999999996,9,9,linear-v1,30.999999999999996,356,1.7763568394002505e-15,5320001505101251-00531510005
Marksmanship,Orc,Horde,732.6108500149728,18.753865433071017,0.2652197084236901,5000,2.092491578672794,3.0999999999999996,3.0999999999999996,9,9,linear-v1,30.999999999999996,356,1.7763568394002505e-15,5023000503-0053451001503051
Marksmanship,Tauren,Horde,730.3589206912823,18.77805754394614,0.2655618365367104,5000,2.3384108456135966,2.0999999999999996,2.0999999999999996,9,9,linear-v1,20.999999999999996,356,-2.6645352591003757e-15,5023000503-0053451001503051
Marksmanship,Troll,Horde,732.5587076365407,18.883927810623753,0.26705906820658576,5000,2.214711958515796,3.0999999999999996,3.0999999999999996,9,9,linear-v1,30.999999999999996,356,1.7763568394002505e-15,5023000503-0053451001503051
