build,race,faction,dps,stdev,standard_error,iterations,oom_seconds,spell_hit_adjustment,melee_hit_adjustment,spell_hit_final,melee_hit_final,hit_budget_model,hit_rating_delta,offensive_budget_before,budget_balance,talents
Balance,Tauren,Horde,622.818781693718,18.429854460754008,0.260637501309606,5000,0.009869091073799999,4.609999999999999,4.609999999999999,16,16,linear-v1,46.099999999999994,563.6714285714286,-1.7763568394002505e-15,5232220115501351--505003
Balance,Windshaper,Horde,620.4601756001324,18.50593577216472,0.2617134535340076,5000,0.014404599624000005,5.609999999999999,5.609999999999999,16,16,linear-v1,56.099999999999994,563.6714285714286,-1.0658141036401503e-14,5232220115501351--505003
Balance,Night Elf,Alliance,623.246589938812,18.65104602283591,0.26376562237939316,5000,0.012170000075399996,5.609999999999999,5.609999999999999,16,16,linear-v1,56.099999999999994,563.6714285714286,-1.0658141036401503e-14,5232220115501351--505003
Balance,High Order,Alliance,620.4601756001324,18.50593577216472,0.2617134535340076,5000,0.014404599624000005,5.609999999999999,5.609999999999999,16,16,linear-v1,56.099999999999994,563.6714285714286,-1.0658141036401503e-14,5232220115501351--505003
Feral,Tauren,Horde,621.6266494066386,14.730763525905202,0.20832445562446048,5000,0,-0.28999999999999915,-0.28999999999999915,9,9,linear-v1,-2.8999999999999915,447.7000000000001,-3.3306690738754696e-16,050022-3521002023032213041-053
Feral,Windshaper,Horde,622.3237905228111,14.395639112187652,0.20358508071484357,5000,0,0.7100000000000009,0.7100000000000009,9,9,linear-v1,7.1000000000000085,447.7000000000001,8.881784197001252e-16,050022-3521002023032213041-053
Feral,Night Elf,Alliance,622.5369797097682,14.835451456336013,0.20980496653478073,5000,0,1.8099999999999994,1.8099999999999994,9,9,linear-v1,18.099999999999994,463.1000000000001,8.881784197001252e-16,050022-3521002023032213041-053
Feral,High Order,Alliance,622.3237905228111,14.395639112187652,0.20358508071484357,5000,0,0.7100000000000009,0.7100000000000009,9,9,linear-v1,7.1000000000000085,447.7000000000001,8.881784197001252e-16,050022-3521002023032213041-053
Elemental,Orc,Horde,534.9245646252972,15.450776199556907,0.21850697250604803,5000,0.1135,3.5099999999999993,3.5099999999999993,16,16,linear-v1,35.099999999999994,563.6714285714287,8.881784197001252e-16,5502301500123031-0500001-053050001
Elemental,Tauren,Horde,534.2350124658329,15.388554917005633,0.21762703068952544,5000,0.1136,2.51,2.51,16,16,linear-v1,25.099999999999998,563.6714285714287,4.440892098500626e-16,5502301500123031-0500001-053050001
