build,race,faction,dps,stdev,standard_error,iterations,oom_seconds,spell_hit_adjustment,melee_hit_adjustment,spell_hit_final,melee_hit_final,hit_budget_model,hit_rating_delta,offensive_budget_before,budget_balance,talents
Balance,Tauren,Horde,579.9273919830389,16.858383247498207,0.23841354228295344,5000,0.013477272850399999,6.1,6.1,16,16,linear-v1,61,512.4285714285713,-6.217248937900877e-15,5232220115501351--505003
Balance,Windshaper,Horde,577.0183407903769,17.04001248552343,0.24098216760034108,5000,0.013721791596399996,7.1,7.1,16,16,linear-v1,71,512.4285714285713,-1.9539925233402755e-14,5232220115501351--505003
Balance,Night Elf,Alliance,579.7524247092011,16.922772966946344,0.239324150428163,5000,0.014484545547999982,7.1,7.1,16,16,linear-v1,71,512.4285714285713,-1.9539925233402755e-14,5232220115501351--505003
Balance,High Order,Alliance,577.0183407903769,17.04001248552343,0.24098216760034108,5000,0.013721791596399996,7.1,7.1,16,16,linear-v1,71,512.4285714285713,-1.9539925233402755e-14,5232220115501351--505003
Feral,Tauren,Horde,586.4413837348286,14.428881726375657,0.20405520227317772,5000,0,0.09999999999999964,0.09999999999999964,9,9,linear-v1,0.9999999999999964,407,-5.551115123125783e-17,050022-3521002023032213041-053
Feral,Windshaper,Horde,587.6778002980684,14.18359739103938,0.20058635793647536,5000,0,1.0999999999999996,1.0999999999999996,9,9,linear-v1,10.999999999999996,407,4.440892098500626e-16,050022-3521002023032213041-053
Feral,Night Elf,Alliance,587.4547534641413,14.492114468114412,0.20494944828270753,5000,0,2.0999999999999996,2.0999999999999996,9,9,linear-v1,20.999999999999996,421,0,050022-3521002023032213041-053
Feral,High Order,Alliance,587.6778002980684,14.18359739103938,0.20058635793647536,5000,0,1.0999999999999996,1.0999999999999996,9,9,linear-v1,10.999999999999996,407,4.440892098500626e-16,050022-3521002023032213041-053
Elemental,Orc,Horde,502.0276029100674,14.64190402088086,0.20706779245294865,5000,0.1064,5.1,5.1,16,16,linear-v1,51,512.4285714285714,3.552713678800501e-15,5502301500123031-0500001-053050001
Elemental,Tauren,Horde,501.70691390116514,14.732040544267948,0.20834251539134044,5000,0.1062,4.1,4.1,16,16,linear-v1,41,512.4285714285714,3.552713678800501e-15,5502301500123031-0500001-053050001
Elemental,Troll,Horde,499.5078560582892,14.77033031084856,0.20888401446332447,5000,0.09795181823799998,5.1,5.1,16,16,linear-v1,51,512.4285714285714,3.552713678800501e-15,5502301500123031-0500001-053050001
Elemental,Windshaper,Horde,498.5872787961415,14.420695087381645,0.20393942571422188,5000,0.09770693409940033,5.1,5.1,16,16,linear-v1,51,512.4285714285714,3.552713678800501e-15,5502301500123031-0500001-053050001
Elemental,Dwarf,Alliance,497.58663195551344,14.593737583141477,0.2063866161579263,5000,0.1127,5.1,5.1,16,16,linear-v1,51,512.4285714285714,3.552713678800501e-15,5502301500123031-0500001-053050001
Stormcaller,Orc,Horde,523.2351260905309,15.574002414184886,0.2202496543457159,5000,1.4308,9.1,9.1,16,16,linear-v1,91,514.4285714285714,1.4210854715202004e-14,550032150010303-055030031004002
Stormcaller,Tauren,Horde,522.5068518447415,15.665194540973816,0.22153930577058142,5000,1.4505,8.1,8.1,16,16,linear-v1,81,514.4285714285714,3.552713678800501e-15,550032150010303-055030031004002
Stormcaller,Troll,Horde,519.0104088321057,15.79431803413903,0.22336538772313377,5000,1.3604590909223915,9.1,9.1,16,16,linear-v1,91,514.4285714285714,1.4210854715202004e-14,550032150010303-055030031004002
Stormcaller,Windshaper,Horde,520.4958755922179,15.845486724385275,0.22408902228028482,5000,1.4607399020191971,9.1,9.1,16,16,linear-v1,91,514.4285714285714,1.4210854715202004e-14,550032150010303-055030031004002
Stormcaller,Dwarf,Alliance,519.0856428666901,15.433005819896389,0.2182556613868038,5000,1.3977,9.1,9.1,16,16,linear-v1,91,514.4285714285714,1.4210854715202004e-14,550032150010303-055030031004002
Enhancement,Orc,Horde,681.2550172127933,40.09167148018077,0.5669818554547826,5000,37.6250224987146,12.1,12.1,16,16,linear-v1,121,521.5714285714286,1.0658141036401503e-14,05043305-055030031005102051
Enhancement,Tauren,Horde,681.4189730755878,39.295684044133814,0.5557248931794208,5000,31.307591410048882,12,12,16,16,linear-v1,120,536,0,05043305-055030031005102051
Enhancement,Troll,Horde,676.1139618136043,38.741535195235265,0.547888045002563,5000,29.82755547757132,12.1,12.1,16,16,linear-v1,121,517.8571428571429,1.4210854715202004e-14,05043305-055030031005102051
Enhancement,Windshaper,Horde,678.1933477193767,39.363313535427146,0.556681318617455,5000,33.927584168314354,13,13,16,16,linear-v1,130,527,3.552713678800501e-15,05043305-055030031005102051
Enhancement,Dwarf,Alliance,683.946486857814,39.55727453346077,0.5594243413573606,5000,33.834452521972615,12.1,12.1,16,16,linear-v1,121,531,7.105427357601002e-15,05043305-055030031005102051
Beast Mastery,Orc,Horde,855.6632368060536,19.921197184246807,0.28172827236670545,5000,0,2.0999999999999996,2.0999999999999996,9,9,linear-v1,20.999999999999996,540.4285714285714,2.220446049250313e-15,5320001505101251-00531510005
Beast Mastery,Tauren,Horde,846.0740045581522,19.85272921522157,0.28075998906286914,5000,0,1.0999999999999996,1.0999999999999996,9,9,linear-v1,10.999999999999996,540.4285714285714,1.1102230246251565e-15,5320001505101251-00531510005
Beast Mastery,Troll,Horde,849.789632280681,19.825367345667647,0.2803730337927187,5000,0,2.0999999999999996,2.0999999999999996,9,9,linear-v1,20.999999999999996,540.4285714285714,2.220446049250313e-15,5320001505101251-00531510005
Beast Mastery,Windshaper,Horde,850.1181184604952,19.487640784031324,0.2755968589543215,5000,0,2.0999999999999996,2.0999999999999996,9,9,linear-v1,20.999999999999996,540.4285714285714,2.220446049250313e-15,5320001505101251-00531510005
